LocationType,Location,TimeFrame,DataFormat,Data
County,Clay,2010,Percent,0.7065
County,Clay,2016,Number,254
County,Clay,2016,Percent,0.63184
County,Clay,2017,Number,280
County,Clay,2017,Percent,0.68627
County,Clay,2018,Number,245
County,Clay,2018,Percent,0.66038
County,Clay,2019,Number,222
County,Clay,2019,Percent,0.59838
County,Cocke,1999,Percent,0.378
County,Cocke,2000,Percent,0.359
County,Cocke,2001,Percent,0.376
County,Cocke,2002,Percent,0.379
County,Cocke,2003,Percent,0.374
County,Cocke,2004,Percent,0.38
County,Cocke,2005,Percent,0.373
County,Cocke,2006,Percent,0.372
County,Cocke,2007,Percent,0.3568
County,Cocke,2008,Percent,0.36617
County,Cocke,1999,Number,909
County,Cocke,2000,Number,877
County,Cocke,2001,Number,916
County,Cocke,2002,Number,922
County,Cocke,2003,Number,914
County,Cocke,2004,Number,933
County,Cocke,2005,Number,920
County,Cocke,2006,Number,920
County,Cocke,2007,Number,892
County,Cocke,2008,Number,919
County,Cocke,2009,Number,922
County,Cocke,2009,Percent,0.3661
County,Cocke,2015,Number,910
County,Cocke,2015,Percent,0.49189
County,Cocke,2014,Number,917
County,Cocke,2014,Percent,0.49381
County,Cocke,2013,Number,1105
County,Cocke,2013,Percent,0.58965
County,Cocke,2012,Number,1127
County,Cocke,2012,Percent,0.60461
County,Cocke,2011,Number,1140
County,Cocke,2011,Percent,0.5778
County,Cocke,2010,Number,1229
County,Cocke,2010,Percent,0.61266
County,Cocke,2016,Number,856
County,Cocke,2016,Percent,0.44817
County,Cocke,2017,Number,752
County,Cocke,2017,Percent,0.39621
County,Cocke,2018,Number,802
County,Cocke,2018,Percent,0.42411
County,Cocke,2019,Number,791
County,Cocke,2019,Percent,0.4183
County,Coffee,1999,Percent,0.216
County,Coffee,2000,Percent,0.228
County,Coffee,2001,Percent,0.251
County,Coffee,2002,Percent,0.27
County,Coffee,2003,Percent,0.284
County,Coffee,2004,Percent,0.296
County,Coffee,2005,Percent,0.302
County,Coffee,2006,Percent,0.301
County,Coffee,2007,Percent,0.29023
County,Coffee,2008,Percent,0.31136
County,Coffee,1999,Number,878
County,Coffee,2000,Number,944
County,Coffee,2001,Number,970
County,Coffee,2002,Number,1041
County,Coffee,2003,Number,1100
